year,proportion,ngram
1812,0.0,Zipf 's law
1813,0.0,Zipf 's law
1814,0.0,Zipf 's law
1815,0.0,Zipf 's law
1816,0.0,Zipf 's law
1817,0.0,Zipf 's law
1818,0.0,Zipf 's law
1819,0.0,Zipf 's law
1820,0.0,Zipf 's law
1821,0.0,Zipf 's law
1822,0.0,Zipf 's law
1823,0.0,Zipf 's law
1824,0.0,Zipf 's law
1825,0.0,Zipf 's law
1826,0.0,Zipf 's law
1827,0.0,Zipf 's law
1828,0.0,Zipf 's law
1829,0.0,Zipf 's law
1830,0.0,Zipf 's law
1831,0.0,Zipf 's law
1832,0.0,Zipf 's law
1833,0.0,Zipf 's law
1834,0.0,Zipf 's law
1835,0.0,Zipf 's law
1836,0.0,Zipf 's law
1837,0.0,Zipf 's law
1838,0.0,Zipf 's law
1839,0.0,Zipf 's law
1840,0.0,Zipf 's law
1841,0.0,Zipf 's law
1842,0.0,Zipf 's law
1843,0.0,Zipf 's law
1844,0.0,Zipf 's law
1845,0.0,Zipf 's law
1846,0.0,Zipf 's law
1847,0.0,Zipf 's law
1848,0.0,Zipf 's law
1849,0.0,Zipf 's law
1850,0.0,Zipf 's law
1851,0.0,Zipf 's law
1852,0.0,Zipf 's law
1853,0.0,Zipf 's law
1854,0.0,Zipf 's law
1855,0.0,Zipf 's law
1856,0.0,Zipf 's law
1857,0.0,Zipf 's law
1858,0.0,Zipf 's law
1859,0.0,Zipf 's law
1860,0.0,Zipf 's law
1861,0.0,Zipf 's law
1862,0.0,Zipf 's law
1863,0.0,Zipf 's law
1864,0.0,Zipf 's law
1865,0.0,Zipf 's law
1866,0.0,Zipf 's law
1867,0.0,Zipf 's law
1868,0.0,Zipf 's law
1869,0.0,Zipf 's law
1870,0.0,Zipf 's law
1871,0.0,Zipf 's law
1872,0.0,Zipf 's law
1873,0.0,Zipf 's law
1874,0.0,Zipf 's law
1875,0.0,Zipf 's law
1876,0.0,Zipf 's law
1877,0.0,Zipf 's law
1878,0.0,Zipf 's law
1879,0.0,Zipf 's law
1880,0.0,Zipf 's law
1881,0.0,Zipf 's law
1882,0.0,Zipf 's law
1883,0.0,Zipf 's law
1884,0.0,Zipf 's law
1885,0.0,Zipf 's law
1886,0.0,Zipf 's law
1887,0.0,Zipf 's law
1888,0.0,Zipf 's law
1889,0.0,Zipf 's law
1890,0.0,Zipf 's law
1891,0.0,Zipf 's law
1892,0.0,Zipf 's law
1893,0.0,Zipf 's law
1894,0.0,Zipf 's law
1895,0.0,Zipf 's law
1896,0.0,Zipf 's law
1897,0.0,Zipf 's law
1898,0.0,Zipf 's law
1899,0.0,Zipf 's law
1900,0.0,Zipf 's law
1901,0.0,Zipf 's law
1902,0.0,Zipf 's law
1903,0.0,Zipf 's law
1904,0.0,Zipf 's law
1905,0.0,Zipf 's law
1906,0.0,Zipf 's law
1907,0.0,Zipf 's law
1908,0.0,Zipf 's law
1909,0.0,Zipf 's law
1910,0.0,Zipf 's law
1911,0.0,Zipf 's law
1912,0.0,Zipf 's law
1913,0.0,Zipf 's law
1914,0.0,Zipf 's law
1915,0.0,Zipf 's law
1916,0.0,Zipf 's law
1917,0.0,Zipf 's law
1918,0.0,Zipf 's law
1919,0.0,Zipf 's law
